query,true_tool,true_needed,pred_needed,pred_tool,correct_select,raw_output
"I want to know the comprehensive and up-to-date financial analysis, including factors such as revenue, expenses, profit margins, cash flow, and balance sheet, specifically for the multinational technology company Amazon.",FinanceTool,1,1,FinanceTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""FinanceTool""}"
Please provide a way to directly obtain the current gas fees on the Ethereum network.,FinanceTool,1,1,FinanceTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""FinanceTool""}"
Can you please provide me with the specific and up-to-date figure of the total value locked in the Compound protocol at this exact moment?,FinanceTool,1,1,FinanceTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""FinanceTool""}"
Calculate the drawdowns for the Fidelity Contrafund.,FinanceTool,1,1,FinanceTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""FinanceTool""}"
"Hi, can you help me find the price to earnings ratio for the Bored Ape Yacht Club NFT collection?",FinanceTool,1,1,FinanceTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""FinanceTool""}"
What's the current exchange rate from Brazilian Real to US dollars?,ExchangeTool,1,1,ExchangeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ExchangeTool""}"
I would like to convert a total of 500 Canadian dollars to Australian dollars.,ExchangeTool,1,1,ExchangeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ExchangeTool""}"
What is the value of BTC in USD?,ExchangeTool,1,1,FinanceTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""FinanceTool""}"
What is the overall sentiment for the EUR/USD currency pair?,ExchangeTool,1,1,FinanceTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""FinanceTool""}"
Can you tell me the current price of USD-BTC?,ExchangeTool,1,1,ExchangeTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""ExchangeTool""}"
"Hey Chatbot, what are the top political news stories from The Guardian?",NewsTool,1,1,NewsTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""NewsTool""}"
What's the most recent news in the US?,NewsTool,1,1,NewsTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""NewsTool""}"
Give me the latest news.,NewsTool,1,1,NewsTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""NewsTool""}"
"Please provide me with detailed news updates and the latest articles from the most renowned news outlets in the United Kingdom, ensuring coverage of a wide range of topics and interests.",NewsTool,1,1,NewsTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""NewsTool""}"
"Please provide me with a list of the currently trending Show HN projects, displaying the ones that are deemed most popular by users.",NewsTool,1,1,,0,"{""tool_needed"": ""yes"", ""tool_name"": ""HackerNewsTool""}"
"What are the physical, mental, and emotional benefits that individuals can experience as a result of regularly engaging in the practice of mindfulness meditation?",PolishTool,1,1,BookTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""BookTool""}"
Can you help me improve the tone of my AI-generated content? ,PolishTool,1,1,PolishTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""PolishTool""}"
Can you simplify the instructions for assembling this furniture piece?,PolishTool,1,1,,0,"{""tool_needed"": ""yes"", ""tool_name"": ""None""}"
"This AI is incredible! But sometimes I feel like the responses can be a bit robotic. Can you make the AI's answers more human-like and conversational, please?",PolishTool,1,1,PolishTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""PolishTool""}"
"OMG, I can't believe how good Chatbot is at translating languages! Is it possible to make the translations sound more natural and as if it were written by a native speaker?",PolishTool,1,1,PolishTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""PolishTool""}"
"This is unacceptable! I demand immediate access to information about a US-based non-profit. Give me detailed data on its mission, key people, governance structure, ratings, and financial data immediately!",CharityTool,1,1,CharityTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""CharityTool""}"
I'm so frustrated with the lack of positive change. Are there any impactful nonprofits in my area and beyond that I can get involved with?,CharityTool,1,1,CharityTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""CharityTool""}"
I'm looking for information on non-profits in the United States.,CharityTool,1,1,CharityTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""CharityTool""}"
I want to find local nonprofits that help provide food and housing for those in need.,CharityTool,1,1,CharityTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""CharityTool""}"
"I would like to support a nonprofit organization that is dedicated to promoting arts and culture, enriching the community through various artistic disciplines such as visual arts, performing arts, music, dance, theater, literature, film, and other cultural activities.",CharityTool,1,1,CharityTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""CharityTool""}"
Display a map of Stonehenge in UK and mark the location using latitude and longitude coordinates.,MapTool,1,1,MapTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MapTool""}"
I want to find a gym within a 5-mile radius from my location.,MapTool,1,1,local,0,"{""tool_needed"": ""yes"", ""tool_name"": ""local""}"
"I need a software or tool that can help me to visualize the given coordinates (-22.9068,-43.1729) on a map or graph.",MapTool,1,1,MapTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MapTool""}"
I can't believe this Maps app doesn't generate a map with a marker! Fix it now!,MapTool,1,1,MapTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MapTool""}"
Hello! I need directions to the nearest gas station from my current location in Chicago.,MapTool,1,1,MapTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MapTool""}"
"I want to learn more about climate change specifically focusing on the underlying scientific principles, causes, impacts, and potential solutions.",CourseTool,1,1,BookTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""BookTool""}"
I am looking for a highly-qualified and experienced biology teacher who can provide quality education to my high schooler. Could you kindly assist me in finding someone suitable for this role?,CourseTool,1,1,JobTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""JobTool""}"
Where can I find top-quality online classes and teachers?,CourseTool,1,1,CourseTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""CourseTool""}"
"As a beginner in finance and investment, I would like to request for detailed information, guidance, and resources to help me navigate and understand the various concepts, strategies, and tools involved in this field.",CourseTool,1,1,FinanceTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""FinanceTool""}"
How can I access online lessons for language learning?,CourseTool,1,1,CourseTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""CourseTool""}"
"Where can I find the latest version of the product manual for JiggyApp that includes detailed instructions, specifications, troubleshooting tips, and diagrams to aid in the optimal usage and understanding of the application?",DataRetrievalTool,1,1,,0,"{""tool_needed"": ""yes"", ""tool_name"": ""ProductManualTool""}"
Can you remind me of the name of that book I mentioned last week?,DataRetrievalTool,1,1,BookTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""BookTool""}"
What are the current marketing strategies being implemented by our team?,DataRetrievalTool,1,1,JobTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""JobTool""}"
Hello! I have an important meeting tomorrow at 10 am. Could you save this information for me?,DataRetrievalTool,1,1,NotesTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""NotesTool""}"
Hi there! Can you save my contact details for future reference?,DataRetrievalTool,1,1,NotesTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""NotesTool""}"
It's ridiculous that I have to wait for my daily astrological predictions. I need them immediately! ,StrologyTool,1,1,StrologyTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""StrologyTool""}"
What is the horoscope for Gemini on August 10th?,StrologyTool,1,1,StrologyTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""StrologyTool""}"
Hello Chatbot! I'm feeling curious about my future endeavors. Can you please provide me with daily astrological predictions specific to my sun sign?,StrologyTool,1,1,StrologyTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""StrologyTool""}"
I can't believe you haven't given me my daily astrological predictions yet! ,StrologyTool,1,1,StrologyTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""StrologyTool""}"
"Can you please provide the detailed horoscope reading specifically for Gemini individuals on June 12, 2022?",StrologyTool,1,1,StrologyTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""StrologyTool""}"
"I'm looking for a tool that allows me to add, remove, and view my to-do list easily. Any suggestions?",NotesTool,1,1,NotesTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""NotesTool""}"
"Can you show me my current list of reminders, including both upcoming and past reminders, their respective dates and times, and any associated notes or descriptions?",NotesTool,1,1,NotesTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""NotesTool""}"
Do you have something that will help me remember tasks?,NotesTool,1,1,NotesTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""NotesTool""}"
I need to remember to attend a very important team meeting with my colleagues at 10 am sharp on Thursday next week.,NotesTool,1,1,NotesTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""NotesTool""}"
I need to remember to attend a meeting at 10 am. Can you set a reminder for me?,NotesTool,1,1,NotesTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""NotesTool""}"
"Could you please generate flashcards, complete with images and detailed information, for a geography lesson focusing on famous landmarks around the world?",MemoryTool,1,1,CourseTool,0,"{""tool_needed"": ""yes"", ""tool_name"": ""CourseTool""}"
Show me the front of the next flashcard.,MemoryTool,1,1,MemoryTool,1,"{""tool_needed"": ""yes"", ""tool_name"": ""MemoryTool""}"
